Rank,Fitness,KP_BALANCE,KD_BALANCE,KP_FORWARD,KD_FORWARD,KP_TURNING,KD_TURNING,IMPULSE_DURATION_SEC,IMPULSE_MAGNITUDE,TURNING_SPEED,KP_RECOVERY,KD_RECOVERY,KP_POSITION,TARGET_TILT,RECOVERY_THRESHOLD,LERP_ALPHA,KI_BALANCE
1,3444.83,158.8049,6.1101,86.9580,29.2365,90.9070,17.9664,0.3643,-0.5921,0.5019,791.5372,52.6243,0.1014,-0.0781,0.0948,0.4029,0.4137
2,3440.90,158.8049,6.1101,87.0524,29.2365,78.6788,31.7973,0.3558,-1.0593,0.5016,790.8398,56.5104,0.1014,-0.0761,0.0972,0.3764,0.4493
3,3439.49,158.8049,6.1101,86.9580,29.2365,75.6137,23.9903,0.3643,-0.5921,0.5000,727.6633,61.0032,0.1014,-0.0781,0.0972,0.3664,0.4137
4,3432.84,158.8049,6.1101,86.9580,29.2365,69.5789,26.7102,0.3643,-0.5921,0.5000,797.2287,65.8361,0.1014,-0.0781,0.0837,0.3497,0.4137
5,3431.76,158.8049,6.1101,86.9580,29.2365,92.0456,17.1686,0.3643,-0.5921,0.5000,788.8541,49.2070,0.1014,-0.0781,0.0908,0.4008,0.4137
6,3428.36,158.8049,6.1101,86.9580,29.2365,91.8461,16.4003,0.3643,-0.5921,0.5000,800.0000,66.4560,0.1014,-0.0781,0.1000,0.4194,0.4137
7,3425.88,158.8049,6.1101,86.9580,29.2365,98.4419,21.0756,0.3643,-0.5921,0.5000,784.6091,57.8326,0.1014,-0.0781,0.0991,0.4099,0.4137
8,3422.01,158.8049,6.1101,86.9580,29.2365,98.4419,21.0756,0.3643,0.0623,0.5000,784.6091,57.8326,0.1014,-0.0781,0.0991,0.4099,0.4137
9,3419.85,158.8049,6.1101,86.9580,29.2365,74.8806,14.3013,0.3643,-0.5921,0.5009,794.9170,67.7205,0.1014,-0.0781,0.0966,0.3563,0.4137
10,3389.04,154.2538,6.1101,86.9580,29.2365,68.0808,21.6057,0.3546,-0.5921,0.5013,778.3437,67.1942,0.1014,-0.0781,0.0966,0.3697,0.4137
